working_df_idx,original_samplename,chunk_id,filepath,primary_label,secondary_labels,matches_primary,matches_secondary,top_class
2,1192948-CSA36358,0,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,eupowl1
2,1192948-CSA36358,1,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,pelcor
2,1192948-CSA36358,2,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,comcha
2,1192948-CSA36358,3,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,blfbun1
2,1192948-CSA36358,4,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,pelcor
2,1192948-CSA36358,5,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,rossta2
2,1192948-CSA36358,6,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,grecor
2,1192948-CSA36358,7,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,pelcor
2,1192948-CSA36358,8,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,rossta2
2,1192948-CSA36358,9,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,cohmar1
2,1192948-CSA36358,10,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,whttyr2
2,1192948-CSA36358,11,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36358.ogg,1192948,[''],False,False,chrshe
3,1192948-CSA36366,0,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,[''],False,False,tawowl1
3,1192948-CSA36366,1,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,[''],False,False,pelcor
3,1192948-CSA36366,2,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,[''],False,False,whrswi1
3,1192948-CSA36366,3,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,[''],False,False,pelcor
3,1192948-CSA36366,4,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,[''],False,False,rossta2
3,1192948-CSA36366,5,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,[''],False,False,pelcor
3,1192948-CSA36366,6,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,[''],False,False,grecor
3,1192948-CSA36366,7,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,[''],False,False,pelcor
3,1192948-CSA36366,8,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,[''],False,False,pelcor
3,1192948-CSA36366,9,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,[''],False,False,rossta2
3,1192948-CSA36366,10,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36366.ogg,1192948,[''],False,False,chrshe
4,1192948-CSA36373,0,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,[''],False,False,baleag
4,1192948-CSA36373,1,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,[''],False,False,ruther1
4,1192948-CSA36373,2,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,[''],False,False,bearee1
4,1192948-CSA36373,3,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,[''],False,False,pelcor
4,1192948-CSA36373,4,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,[''],False,False,soiwre1
4,1192948-CSA36373,5,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,[''],False,False,cohmar1
4,1192948-CSA36373,6,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,[''],False,False,cohmar1
4,1192948-CSA36373,7,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,[''],False,False,grecor
4,1192948-CSA36373,8,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,[''],False,False,pelcor
4,1192948-CSA36373,9,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,[''],False,False,bkchum
4,1192948-CSA36373,10,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36373.ogg,1192948,[''],False,False,chrshe
5,1192948-CSA36388,0,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,[''],False,False,tawowl1
5,1192948-CSA36388,1,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,[''],False,False,rossta2
5,1192948-CSA36388,2,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,[''],False,False,pelcor
5,1192948-CSA36388,3,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,[''],False,False,siwgua1
5,1192948-CSA36388,4,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,[''],False,False,whttyr2
5,1192948-CSA36388,5,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,[''],False,False,pelcor
5,1192948-CSA36388,6,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,[''],False,False,ruther1
5,1192948-CSA36388,7,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,[''],False,False,vitpar1
5,1192948-CSA36388,8,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,[''],False,False,pelcor
5,1192948-CSA36388,9,/kaggle/input/birdclef-2025/train_audio/1192948/CSA36388.ogg,1192948,[''],False,False,chrshe
6,1194042-CSA18783,0,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18783.ogg,1194042,[''],False,False,casspa
6,1194042-CSA18783,1,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18783.ogg,1194042,[''],False,False,mafdov1
6,1194042-CSA18783,2,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18783.ogg,1194042,[''],False,False,gryfin2
6,1194042-CSA18783,3,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18783.ogg,1194042,[''],False,False,uplgoo1
7,1194042-CSA18794,0,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18794.ogg,1194042,[''],False,False,goltan1
7,1194042-CSA18794,1,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18794.ogg,1194042,[''],False,False,whtspa
8,1194042-CSA18802,0,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18802.ogg,1194042,[''],False,False,savwar1
8,1194042-CSA18802,1,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18802.ogg,1194042,[''],False,False,sedwre
8,1194042-CSA18802,2,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18802.ogg,1194042,[''],False,False,comrav
8,1194042-CSA18802,3,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18802.ogg,1194042,[''],False,False,tawgra2
8,1194042-CSA18802,4,/kaggle/input/birdclef-2025/train_audio/1194042/CSA18802.ogg,1194042,[''],False,False,gresku1
9,126247-XC941297,0,/kaggle/input/birdclef-2025/train_audio/126247/XC941297.ogg,126247,"['65448', '22976', '476538']",False,False,stopar1
9,126247-XC941297,1,/kaggle/input/birdclef-2025/train_audio/126247/XC941297.ogg,126247,"['65448', '22976', '476538']",False,False,spocra1
10,126247-iNat1109254,0,/kaggle/input/birdclef-2025/train_audio/126247/iNat1109254.ogg,126247,[''],False,False,stopar1
10,126247-iNat1109254,1,/kaggle/input/birdclef-2025/train_audio/126247/iNat1109254.ogg,126247,[''],False,False,spocra1
11,126247-iNat146584,0,/kaggle/input/birdclef-2025/train_audio/126247/iNat146584.ogg,126247,[''],False,False,camfli1
11,126247-iNat146584,1,/kaggle/input/birdclef-2025/train_audio/126247/iNat146584.ogg,126247,[''],False,False,dohbus1
12,126247-iNat320679,0,/kaggle/input/birdclef-2025/train_audio/126247/iNat320679.ogg,126247,[''],False,False,andsni1
12,126247-iNat320679,1,/kaggle/input/birdclef-2025/train_audio/126247/iNat320679.ogg,126247,[''],False,False,sltnig1
12,126247-iNat320679,2,/kaggle/input/birdclef-2025/train_audio/126247/iNat320679.ogg,126247,[''],False,False,andsni1
13,126247-iNat888527,0,/kaggle/input/birdclef-2025/train_audio/126247/iNat888527.ogg,126247,[''],False,False,andsni1
13,126247-iNat888527,1,/kaggle/input/birdclef-2025/train_audio/126247/iNat888527.ogg,126247,[''],False,False,andsni1
14,126247-iNat888729,0,/kaggle/input/birdclef-2025/train_audio/126247/iNat888729.ogg,126247,[''],False,False,andsni1
14,126247-iNat888729,1,/kaggle/input/birdclef-2025/train_audio/126247/iNat888729.ogg,126247,[''],False,False,andsni1
15,1346504-CSA18784,0,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18784.ogg,1346504,[''],False,False,rubowl3
15,1346504-CSA18784,1,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18784.ogg,1346504,[''],False,False,rubowl3
15,1346504-CSA18784,2,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18784.ogg,1346504,[''],False,False,rubowl3
15,1346504-CSA18784,3,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18784.ogg,1346504,[''],False,False,rubowl3
15,1346504-CSA18784,4,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18784.ogg,1346504,[''],False,False,sthbrf8
16,1346504-CSA18791,0,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18791.ogg,1346504,[''],False,False,eurnig1
16,1346504-CSA18791,1,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18791.ogg,1346504,[''],False,False,eurnig1
16,1346504-CSA18791,2,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18791.ogg,1346504,[''],False,False,tawowl1
16,1346504-CSA18791,3,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18791.ogg,1346504,[''],False,False,tawowl1
16,1346504-CSA18791,4,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18791.ogg,1346504,[''],False,False,eurnig1
16,1346504-CSA18791,5,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18791.ogg,1346504,[''],False,False,lotman1
16,1346504-CSA18791,6,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18791.ogg,1346504,[''],False,False,lotman1
16,1346504-CSA18791,7,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18791.ogg,1346504,[''],False,False,sthbrf8
17,1346504-CSA18792,0,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18792.ogg,1346504,[''],False,False,tawowl1
17,1346504-CSA18792,1,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18792.ogg,1346504,[''],False,False,tawowl1
17,1346504-CSA18792,2,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18792.ogg,1346504,[''],False,False,sthbrf8
18,1346504-CSA18793,0,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18793.ogg,1346504,[''],False,False,bltrob1
18,1346504-CSA18793,1,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18793.ogg,1346504,[''],False,False,whbpic3
18,1346504-CSA18793,2,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18793.ogg,1346504,[''],False,False,comrav
18,1346504-CSA18793,3,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18793.ogg,1346504,[''],False,False,whtspa
18,1346504-CSA18793,4,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18793.ogg,1346504,[''],False,False,whtspa
18,1346504-CSA18793,5,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18793.ogg,1346504,[''],False,False,pelcor
18,1346504-CSA18793,6,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18793.ogg,1346504,[''],False,False,whtspa
19,1346504-CSA18803,0,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18803.ogg,1346504,[''],False,False,savwar1
19,1346504-CSA18803,1,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18803.ogg,1346504,[''],False,False,savwar1
19,1346504-CSA18803,2,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18803.ogg,1346504,[''],False,False,savwar1
19,1346504-CSA18803,3,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18803.ogg,1346504,[''],False,False,rubowl3
19,1346504-CSA18803,4,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18803.ogg,1346504,[''],False,False,blawoo1
19,1346504-CSA18803,5,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18803.ogg,1346504,[''],False,False,savwar1
19,1346504-CSA18803,6,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18803.ogg,1346504,[''],False,False,louflo1
19,1346504-CSA18803,7,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18803.ogg,1346504,[''],False,False,savwar1
19,1346504-CSA18803,8,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18803.ogg,1346504,[''],False,False,louflo1
19,1346504-CSA18803,9,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18803.ogg,1346504,[''],False,False,whtspa
19,1346504-CSA18803,10,/kaggle/input/birdclef-2025/train_audio/1346504/CSA18803.ogg,1346504,[''],False,False,graspa1
20,134933-XC941298,0,/kaggle/input/birdclef-2025/train_audio/134933/XC941298.ogg,134933,[''],False,False,grybun
20,134933-XC941298,1,/kaggle/input/birdclef-2025/train_audio/134933/XC941298.ogg,134933,[''],False,False,grybun
20,134933-XC941298,2,/kaggle/input/birdclef-2025/train_audio/134933/XC941298.ogg,134933,[''],False,False,goldcr1
20,134933-XC941298,3,/kaggle/input/birdclef-2025/train_audio/134933/XC941298.ogg,134933,[''],False,False,spehum1
20,134933-XC941298,4,/kaggle/input/birdclef-2025/train_audio/134933/XC941298.ogg,134933,[''],False,False,comchi1
21,134933-iNat1108984,0,/kaggle/input/birdclef-2025/train_audio/134933/iNat1108984.ogg,134933,[''],False,False,spofly1
21,134933-iNat1108984,1,/kaggle/input/birdclef-2025/train_audio/134933/iNat1108984.ogg,134933,[''],False,False,coatit2
21,134933-iNat1108984,2,/kaggle/input/birdclef-2025/train_audio/134933/iNat1108984.ogg,134933,[''],False,False,tribun1
22,134933-iNat1160199,0,/kaggle/input/birdclef-2025/train_audio/134933/iNat1160199.ogg,134933,[''],False,False,grybun
22,134933-iNat1160199,1,/kaggle/input/birdclef-2025/train_audio/134933/iNat1160199.ogg,134933,[''],False,False,grybun
22,134933-iNat1160199,2,/kaggle/input/birdclef-2025/train_audio/134933/iNat1160199.ogg,134933,[''],False,False,rufant1
22,134933-iNat1160199,3,/kaggle/input/birdclef-2025/train_audio/134933/iNat1160199.ogg,134933,[''],False,False,spehum1
22,134933-iNat1160199,4,/kaggle/input/birdclef-2025/train_audio/134933/iNat1160199.ogg,134933,[''],False,False,comchi1
23,134933-iNat859408,0,/kaggle/input/birdclef-2025/train_audio/134933/iNat859408.ogg,134933,[''],False,False,goldcr1
23,134933-iNat859408,1,/kaggle/input/birdclef-2025/train_audio/134933/iNat859408.ogg,134933,[''],False,False,ferfly1
24,135045-iNat1122209,0,/kaggle/input/birdclef-2025/train_audio/135045/iNat1122209.ogg,135045,[''],False,False,graspa
24,135045-iNat1122209,1,/kaggle/input/birdclef-2025/train_audio/135045/iNat1122209.ogg,135045,[''],False,False,graspa
24,135045-iNat1122209,2,/kaggle/input/birdclef-2025/train_audio/135045/iNat1122209.ogg,135045,[''],False,False,graspa
24,135045-iNat1122209,3,/kaggle/input/birdclef-2025/train_audio/135045/iNat1122209.ogg,135045,[''],False,False,blueth
24,135045-iNat1122209,4,/kaggle/input/birdclef-2025/train_audio/135045/iNat1122209.ogg,135045,[''],False,False,graspa
25,135045-iNat1207345,0,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,lotman1
25,135045-iNat1207345,1,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,graspa
25,135045-iNat1207345,2,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,tawowl1
25,135045-iNat1207345,3,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,graspa
25,135045-iNat1207345,4,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,graspa
25,135045-iNat1207345,5,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,lotman1
25,135045-iNat1207345,6,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,grnsan
25,135045-iNat1207345,7,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,graspa
25,135045-iNat1207345,8,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,graspa
25,135045-iNat1207345,9,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,graspa
25,135045-iNat1207345,10,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,grnsan
25,135045-iNat1207345,11,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,grnsan
25,135045-iNat1207345,12,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,graspa
25,135045-iNat1207345,13,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207345.ogg,135045,[''],False,False,lotman1
26,135045-iNat1207347,0,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,graspa
26,135045-iNat1207347,1,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,grnsan
26,135045-iNat1207347,2,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,graspa
26,135045-iNat1207347,3,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,graspa
26,135045-iNat1207347,4,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,graspa
26,135045-iNat1207347,5,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,graspa
26,135045-iNat1207347,6,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,graspa
26,135045-iNat1207347,7,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,graspa
26,135045-iNat1207347,8,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,grnsan
26,135045-iNat1207347,9,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,brnowl
26,135045-iNat1207347,10,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,graspa
26,135045-iNat1207347,11,/kaggle/input/birdclef-2025/train_audio/135045/iNat1207347.ogg,135045,[''],False,False,graspa
27,135045-iNat1208549,0,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,whifly1
27,135045-iNat1208549,1,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,graspa
27,135045-iNat1208549,2,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,thitin1
27,135045-iNat1208549,3,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,graspa
27,135045-iNat1208549,4,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,bncfly
27,135045-iNat1208549,5,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,graspa
27,135045-iNat1208549,6,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,grabul1
27,135045-iNat1208549,7,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,comkin1
27,135045-iNat1208549,8,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,graspa
27,135045-iNat1208549,9,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,graspa
27,135045-iNat1208549,10,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,graspa
27,135045-iNat1208549,11,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,whrswi1
27,135045-iNat1208549,12,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,graspa
27,135045-iNat1208549,13,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,thitin1
27,135045-iNat1208549,14,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,graspa
27,135045-iNat1208549,15,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,graspa
27,135045-iNat1208549,16,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,thitin1
27,135045-iNat1208549,17,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208549.ogg,135045,[''],False,False,graspa
28,135045-iNat1208550,0,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,orbspa1
28,135045-iNat1208550,1,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,grabul1
28,135045-iNat1208550,2,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,graspa
28,135045-iNat1208550,3,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,grabul1
28,135045-iNat1208550,4,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,grabul1
28,135045-iNat1208550,5,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,littho1
28,135045-iNat1208550,6,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,grabul1
28,135045-iNat1208550,7,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,graspa
28,135045-iNat1208550,8,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,graspa
28,135045-iNat1208550,9,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,grabul1
28,135045-iNat1208550,10,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,lecspa
28,135045-iNat1208550,11,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,graspa
28,135045-iNat1208550,12,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208550.ogg,135045,[''],False,False,graspa
29,135045-iNat1208551,0,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,eurwoo
29,135045-iNat1208551,1,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,graspa
29,135045-iNat1208551,2,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,grabul1
29,135045-iNat1208551,3,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,graspa
29,135045-iNat1208551,4,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,magwar
29,135045-iNat1208551,5,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,magwar
29,135045-iNat1208551,6,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,magwar
29,135045-iNat1208551,7,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,magwar
29,135045-iNat1208551,8,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,magwar
29,135045-iNat1208551,9,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,magwar
29,135045-iNat1208551,10,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,orbspa1
29,135045-iNat1208551,11,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,eurlin1
29,135045-iNat1208551,12,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,magwar
29,135045-iNat1208551,13,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,magwar
29,135045-iNat1208551,14,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,yecpar
29,135045-iNat1208551,15,/kaggle/input/birdclef-2025/train_audio/135045/iNat1208551.ogg,135045,[''],False,False,grabul1
